num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
4096	29.907381	nan	nan	0.033437	6.861550e+18	2.294266e+17	3.118694e+14	0.179602	False	0.000000	46.528178	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	37.003556	nan	nan	0.027024	6.861550e+18	1.854295e+17	3.118694e+14	0.145160	False	0.000000	55.203093	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	127.488449	nan	nan	0.007844	6.861550e+18	5.382096e+16	3.118694e+14	0.084265	False	0.000000	46.608559	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	67.180557	nan	nan	0.014885	6.861550e+18	1.021360e+17	3.118694e+14	0.079955	False	0.000000	47.358559	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	77.219102	nan	nan	0.012950	6.861550e+18	8.885820e+16	3.118694e+14	0.556487	False	0.000000	112.064267	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	118.518006	nan	nan	0.008438	6.861550e+18	5.789458e+16	3.118694e+14	0.362573	False	0.000000	113.597154	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	115.091088	nan	nan	0.008689	6.861550e+18	5.961843e+16	3.118694e+14	0.373369	False	0.000000	64.537811	{'tp': 8, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	57.946094	nan	nan	0.017257	6.861550e+18	1.184126e+17	3.118694e+14	0.370788	False	0.000000	43.118143	{'tp': 8, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	95.349176	nan	nan	0.010488	6.861550e+18	7.196234e+16	3.118694e+14	0.450674	True	25.182281	60.499991	{'tp': 8, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	65.677735	nan	nan	0.015226	6.861550e+18	1.044730e+17	3.118694e+14	0.327138	False	0.000000	72.501885	{'tp': 16, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
