num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
256	286.265789	nan	nan	0.003493	6.861550e+18	2.396916e+16	3.118694e+14	0.300220	False	0.000000	60.747954	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	165.496920	nan	nan	0.006042	6.861550e+18	4.146029e+16	3.118694e+14	0.259651	False	0.000000	72.156780	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	105.127519	nan	nan	0.009512	6.861550e+18	6.526883e+16	3.118694e+14	0.204377	False	0.000000	103.759596	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	74.919008	nan	nan	0.013348	6.861550e+18	9.158624e+16	3.118694e+14	0.143393	False	0.000000	224.960481	{'tp': 32, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	59.861667	nan	nan	0.016705	6.861550e+18	1.146234e+17	3.118694e+14	0.089731	False	0.000000	771.491634	{'tp': 64, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	308.054255	nan	nan	0.003246	6.861550e+18	2.227384e+16	3.118694e+14	0.557972	True	0.776794	385.047392	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	170.116834	nan	nan	0.005878	6.861550e+18	4.033434e+16	3.118694e+14	0.505199	False	0.000000	391.479190	{'tp': 64, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	444.418680	nan	nan	0.002250	6.861550e+18	1.543938e+16	3.118694e+14	0.386765	False	0.000000	207.838152	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	236.541722	nan	nan	0.004228	6.861550e+18	2.900778e+16	3.118694e+14	0.363330	False	0.000000	212.459884	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	133.073192	nan	nan	0.007515	6.861550e+18	5.156223e+16	3.118694e+14	0.322915	False	0.000000	231.010921	{'tp': 64, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	507.581516	nan	nan	0.001970	6.861550e+18	1.351812e+16	3.118694e+14	0.338636	False	0.000000	121.158931	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	266.770353	nan	nan	0.003749	6.861550e+18	2.572081e+16	3.118694e+14	0.322160	False	0.000000	120.845277	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	146.308927	nan	nan	0.006835	6.861550e+18	4.689769e+16	3.118694e+14	0.293703	False	0.000000	128.006730	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	86.327543	nan	nan	0.011584	6.861550e+18	7.948275e+16	3.118694e+14	0.248886	False	0.000000	173.416718	{'tp': 64, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	532.477609	nan	nan	0.001878	6.861550e+18	1.288608e+16	3.118694e+14	0.322803	False	0.000000	78.425591	{'tp': 4, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	278.261800	nan	nan	0.003594	6.861550e+18	2.465861e+16	3.118694e+14	0.308856	False	0.000000	75.479420	{'tp': 8, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	151.187980	nan	nan	0.006614	6.861550e+18	4.538423e+16	3.118694e+14	0.284225	False	0.000000	76.570277	{'tp': 16, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	87.617336	nan	nan	0.011413	6.861550e+18	7.831270e+16	3.118694e+14	0.245222	False	0.000000	100.457521	{'tp': 32, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	55.941623	nan	nan	0.017876	6.861550e+18	1.226555e+17	3.118694e+14	0.192037	False	0.000000	206.787891	{'tp': 64, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	544.935429	nan	nan	0.001835	6.861550e+18	1.259149e+16	3.118694e+14	0.315424	False	0.000000	58.162617	{'tp': 2, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	277.747655	nan	nan	0.003600	6.861550e+18	2.470426e+16	3.118694e+14	0.309428	False	0.000000	51.570008	{'tp': 4, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	150.439325	nan	nan	0.006647	6.861550e+18	4.561008e+16	3.118694e+14	0.285639	False	0.000000	55.215179	{'tp': 8, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	86.801000	nan	nan	0.011521	6.861550e+18	7.904921e+16	3.118694e+14	0.247528	False	0.000000	68.182720	{'tp': 16, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	54.956750	nan	nan	0.018196	6.861550e+18	1.248536e+17	3.118694e+14	0.195478	False	0.000000	118.491799	{'tp': 32, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	39.084083	nan	nan	0.025586	6.861550e+18	1.755587e+17	3.118694e+14	0.137433	False	0.000000	350.656649	{'tp': 64, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	1101.601018	nan	nan	0.000908	6.861550e+18	6.228707e+15	3.118694e+14	0.156033	True	3.645752	73.496820	{'tp': 1, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	553.880294	nan	nan	0.001805	6.861550e+18	1.238815e+16	3.118694e+14	0.155165	False	0.000000	62.282394	{'tp': 2, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	286.225589	nan	nan	0.003494	6.861550e+18	2.397253e+16	3.118694e+14	0.150131	False	0.000000	60.680456	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	165.457774	nan	nan	0.006044	6.861550e+18	4.147010e+16	3.118694e+14	0.129856	False	0.000000	71.667164	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	105.088901	nan	nan	0.009516	6.861550e+18	6.529281e+16	3.118694e+14	0.102226	False	0.000000	107.385905	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	74.880654	nan	nan	0.013355	6.861550e+18	9.163315e+16	3.118694e+14	0.071733	False	0.000000	229.775391	{'tp': 32, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
